Style,Reference_URL,Reference_Name,Why_Notable,Category
Glassmorphism,https://linear.app,Linear,Frosted glass cards with depth layers and blur effects on dark gradients,SaaS
Glassmorphism,https://stripe.com,Stripe,Translucent UI panels with gradient mesh backgrounds,Finance
Glassmorphism,https://www.raycast.com,Raycast,Glass-effect command palette and floating panels,Developer Tool
Minimalism,https://notion.so,Notion,Ultra-clean typography-driven interface with near-zero visual noise,SaaS
Minimalism,https://www.apple.com,Apple,Whitespace mastery with product-focused imagery,Premium Brand
Minimalism,https://arc.net,Arc Browser,Minimal chrome with content-first navigation,Browser
Flat Design,https://www.shopify.com,Shopify,Clean flat UI with consistent iconography and clear hierarchy,E-commerce
Flat Design,https://asana.com,Asana,Flat cards with vibrant accent colors and clear task hierarchy,Productivity
Flat Design,https://www.figma.com,Figma,Functional flat design with precise component system,Design Tool
Neubrutalism,https://gumroad.com,Gumroad,Bold borders thick shadows bright background and raw aesthetic,Creator Economy
Neubrutalism,https://poolsuite.net,Poolsuite,Retro-brutalist with bold type and neon colors,Entertainment
Neubrutalism,https://www.wearecollins.com,Collins,Agency brutalism with oversized type and raw grid,Creative Agency
Neumorphism / Soft UI,https://neumorphism.io,Neumorphism.io,Soft pressed shadows on monochromatic backgrounds,Tool / Demo
Neumorphism / Soft UI,https://www.skeuomorphism.design,Skeuomorphism Design,Showcase of soft UI components and controls,Design Reference
Dark Mode (OLED),https://vercel.com,Vercel,Premium dark interface with clean developer aesthetic,Developer Tool
Dark Mode (OLED),https://spotify.com,Spotify,Content-focused dark UI with album art contrast,Music Streaming
Dark Mode (OLED),https://github.com,GitHub,Developer-centric dark mode with syntax highlighting,Developer Tool
Dark Mode (OLED),https://x.com,X (Twitter),High contrast dark mode with real-time content feed,Social Media
Material Design 3,https://material.io,Material Design,Official MD3 guidelines with adaptive theming and tonal palettes,Design System
Material Design 3,https://play.google.com,Google Play,Material You with dynamic color and rounded surfaces,App Store
Vibrant & Block-based,https://www.duolingo.com,Duolingo,Playful blocks with vibrant greens and character-driven UI,Education
Vibrant & Block-based,https://www.canva.com,Canva,Colorful category blocks with accessible creative tools,Creative Tool
Vibrant & Block-based,https://www.notion.so/templates,Notion Templates,Bold category cards with vibrant accent grouping,SaaS
Claymorphism,https://www.inflection.ai,Inflection AI (Pi),Soft rounded 3D-like elements with playful depth,AI Product
Claymorphism,https://www.headspace.com,Headspace,Rounded soft illustrations with gentle shadow depth,Wellness
Liquid Glass / Aurora,https://www.apple.com/apple-vision-pro,Apple Vision Pro,Spatial glass panels with depth and translucency,Spatial Computing
Liquid Glass / Aurora,https://ui8.net,UI8,Premium glass card marketplace with aurora backgrounds,Design Marketplace
Motion-Driven,https://www.awwwards.com,Awwwards,Portfolio of motion-heavy award-winning web designs,Creative Showcase
Motion-Driven,https://www.framer.com,Framer,Scroll-triggered animations and parallax sections,Web Builder
Motion-Driven,https://lusion.co,Lusion,WebGL 3D transitions and immersive scroll experiences,Creative Agency
Brutalism,https://brutalistwebsites.com,Brutalist Websites,Curated collection of raw unpolished web designs,Design Reference
Brutalism,https://www.bloomberg.com/businessweek,Bloomberg Businessweek,Editorial brutalism with bold type and raw layout,News / Editorial
Swiss Modernism 2.0,https://medium.com,Medium,Clean editorial grid with perfect typographic rhythm,Content Platform
Swiss Modernism 2.0,https://www.nytimes.com,The New York Times,Classic editorial hierarchy with modern responsive grid,News Platform
Retro-Futurism,https://www.synthwave.com,Synthwave Aesthetic,80s neon grids and chrome gradients,Entertainment
Retro-Futurism,https://www.atari.com,Atari,Retro gaming aesthetic with modern interactions,Gaming
3D & Hyperrealism,https://www.apple.com/airpods-pro,Apple AirPods,Product hyperrealism with 3D rotation and depth,Product Page
3D & Hyperrealism,https://www.porsche.com/microsite/mission-e,Porsche,Photorealistic 3D car configurator,Automotive
Organic Biophilic,https://www.allbirds.com,Allbirds,Nature-inspired palette with organic textures and eco-messaging,Sustainable Brand
Organic Biophilic,https://www.patagonia.com,Patagonia,Earth tones with environmental storytelling,Outdoor / Eco
Accessible & Ethical,https://www.gov.uk,GOV.UK,Gold standard accessibility with AAA contrast and clear hierarchy,Government
Accessible & Ethical,https://www.bbc.com,BBC,High readability with inclusive design patterns,News / Media
Data-Dense,https://grafana.com,Grafana,Dense dashboard with real-time metrics and chart library,Analytics
Data-Dense,https://www.tradingview.com,TradingView,Financial data density with customizable chart layouts,Finance
Cyberpunk UI,https://www.cyberpunk.net,Cyberpunk 2077,Neon HUD with glitch effects and terminal aesthetics,Gaming
Cyberpunk UI,https://www.hackerrank.com,HackerRank,Code-terminal dark UI with competitive gaming elements,Developer Tool
Bento Box Grid,https://www.apple.com/iphone,Apple iPhone,Grid-based feature showcase with varied card sizes,Product Page
Bento Box Grid,https://www.vercel.com/blog,Vercel Blog,Bento card layout for content discovery,Developer Blog
AI-Native UI,https://chat.openai.com,ChatGPT,Conversational UI with streaming text and minimal chrome,AI Platform
AI-Native UI,https://claude.ai,Claude,Clean AI interface with artifact rendering,AI Platform
AI-Native UI,https://gemini.google.com,Gemini,Multimodal AI with inline media and cards,AI Platform
Pixel Art / Retro,https://itch.io,itch.io,Indie game marketplace with pixel aesthetics,Gaming Marketplace
Spatial UI (VisionOS),https://developer.apple.com/visionos,VisionOS Design,Spatial computing UI with depth and glass materials,Spatial Computing
E-Ink / Paper,https://readwise.io/reader,Readwise Reader,Paper-inspired reading interface with sepia tones,Reading Tool
HUD / Sci-Fi FUI,https://www.starlink.com,Starlink,Satellite tracking HUD with real-time telemetry,Space Tech
